index,ys,fs,parent_a,parent_b
0,0.40581393241882324,1.9502885341644287,604 原始基因（图节点 #424）,604 原始基因（图节点 #346）
1,1.5884974002838135,0.8973003029823303,604 原始基因（图节点 #424）,604 原始基因（图节点 #346）
2,1.1761205196380615,0.5754765272140503,604 原始基因（图节点 #375）,604 原始基因（图节点 #415）
3,1.4530655145645142,0.40181028842926025,604 原始基因（图节点 #375）,604 原始基因（图节点 #415）
4,0.7263834476470947,1.4442247152328491,604 原始基因（图节点 #574）,604 原始基因（图节点 #287）
5,1.4057576656341553,0.2186174839735031,604 原始基因（图节点 #574）,604 原始基因（图节点 #287）
6,0.7393372058868408,0.6981228590011597,604 原始基因（图节点 #154）,604 原始基因（图节点 #240）
7,0.6459804773330688,0.832866370677948,604 原始基因（图节点 #154）,604 原始基因（图节点 #240）
8,0.6782212257385254,0.8236360549926758,604 原始基因（图节点 #296）,604 原始基因（图节点 #308）
9,1.52531898021698,0.6363129019737244,604 原始基因（图节点 #296）,604 原始基因（图节点 #308）
10,0.6686771512031555,0.9788123369216919,604 原始基因（图节点 #226）,604 原始基因（图节点 #246）
11,0.5225233435630798,1.0206495523452759,604 原始基因（图节点 #226）,604 原始基因（图节点 #246）
12,1.159712314605713,0.39246106147766113,604 原始基因（图节点 #13）,604 原始基因（图节点 #59）
13,1.4861966371536255,0.5570176839828491,604 原始基因（图节点 #13）,604 原始基因（图节点 #59）
14,1.0190304517745972,0.5754825472831726,604 原始基因（图节点 #104）,604 原始基因（图节点 #294）
15,0.6178365349769592,1.0176492929458618,604 原始基因（图节点 #104）,604 原始基因（图节点 #294）
16,0.6652511358261108,0.7577810883522034,604 原始基因（图节点 #474）,604 原始基因（图节点 #558）
17,0.7093256711959839,2.6581015586853027,604 原始基因（图节点 #474）,604 原始基因（图节点 #558）
18,1.5082262754440308,0.6345250606536865,604 原始基因（图节点 #598）,604 原始基因（图节点 #552）
19,0.6005198359489441,1.9230390787124634,604 原始基因（图节点 #598）,604 原始基因（图节点 #552）
20,0.6522138118743896,0.6240519285202026,604 原始基因（图节点 #32）,604 原始基因（图节点 #95）
21,0.6012877225875854,1.781872034072876,604 原始基因（图节点 #32）,604 原始基因（图节点 #95）
22,0.6352940797805786,0.8982131481170654,604 原始基因（图节点 #234）,604 原始基因（图节点 #34）
23,0.9680768251419067,1.847313404083252,604 原始基因（图节点 #234）,604 原始基因（图节点 #34）
24,0.6884468793869019,0.8780428171157837,604 原始基因（图节点 #56）,604 原始基因（图节点 #143）
25,1.1407978534698486,1.3723129034042358,604 原始基因（图节点 #56）,604 原始基因（图节点 #143）
26,1.450423240661621,0.4553079605102539,604 原始基因（图节点 #378）,604 原始基因（图节点 #67）
27,1.0371567010879517,0.8793543577194214,604 原始基因（图节点 #378）,604 原始基因（图节点 #67）
28,0.5118544697761536,0.8695756793022156,604 原始基因（图节点 #177）,604 原始基因（图节点 #400）
29,0.7665787935256958,1.8420249223709106,604 原始基因（图节点 #177）,604 原始基因（图节点 #400）
30,1.5243749618530273,0.5570473670959473,604 原始基因（图节点 #159）,604 原始基因（图节点 #92）
31,1.497996211051941,0.9068068861961365,604 原始基因（图节点 #159）,604 原始基因（图节点 #92）
32,0.9413976073265076,0.8791520595550537,604 原始基因（图节点 #290）,604 原始基因（图节点 #11）
33,1.1777358055114746,0.3711819350719452,604 原始基因（图节点 #290）,604 原始基因（图节点 #11）
34,0.6869410276412964,1.5201921463012695,604 原始基因（图节点 #163）,604 原始基因（图节点 #81）
35,0.7178099751472473,1.1554850339889526,604 原始基因（图节点 #163）,604 原始基因（图节点 #81）
36,1.5481513738632202,0.5421459674835205,604 原始基因（图节点 #266）,604 原始基因（图节点 #598）
37,0.6860390305519104,0.5944492220878601,604 原始基因（图节点 #266）,604 原始基因（图节点 #598）
38,0.8929034471511841,0.8130761384963989,604 原始基因（图节点 #571）,604 原始基因（图节点 #407）
39,1.42288076877594,0.6508489847183228,604 原始基因（图节点 #571）,604 原始基因（图节点 #407）
40,1.018020749092102,2.77972149848938,604 原始基因（图节点 #427）,604 原始基因（图节点 #532）
41,0.3503957986831665,1.3198362588882446,604 原始基因（图节点 #427）,604 原始基因（图节点 #532）
42,1.5721124410629272,1.0980302095413208,604 原始基因（图节点 #242）,604 原始基因（图节点 #548）
43,1.5319113731384277,0.6030558347702026,604 原始基因（图节点 #242）,604 原始基因（图节点 #548）
44,0.9573768377304077,0.8913145661354065,604 原始基因（图节点 #80）,604 原始基因（图节点 #568）
45,0.7751306295394897,1.28445303440094,604 原始基因（图节点 #80）,604 原始基因（图节点 #568）
46,0.6437727808952332,0.9221092462539673,604 原始基因（图节点 #202）,604 原始基因（图节点 #525）
47,1.3752394914627075,0.8458142280578613,604 原始基因（图节点 #202）,604 原始基因（图节点 #525）
48,0.6729927062988281,0.6736708283424377,604 原始基因（图节点 #386）,604 原始基因（图节点 #246）
49,0.5829322934150696,0.43689948320388794,604 原始基因（图节点 #386）,604 原始基因（图节点 #246）
50,1.0932384729385376,1.310928225517273,604 原始基因（图节点 #578）,604 原始基因（图节点 #171）
