timestamp,round,epochs_done,train_mae_fs,val_mae_fs,train_mae_ys,val_mae_ys,worst_val_node,best_train_node,worst_rel_pct,best_rel_pct,curate_count_after,phase,mask_op,batch_k,effective_k,worst_nodes,best_nodes,elapsed_sec
2026-04-08 05:26:27,35,60,0.14762403,0.21215630,0.09303106,0.06114144,102,387,0.80695558,0.41168642,35,curate,curate,1,1,102,387,13.6440
2026-04-08 05:26:41,36,60,0.13639468,0.20526756,0.08817987,0.06523703,351,395,0.78440022,0.47698423,36,curate,curate,1,1,351,395,13.6274
2026-04-08 05:26:54,37,60,0.12972270,0.21788223,0.09815611,0.06179517,197,159,0.76279718,0.48317742,37,curate,curate,1,1,197,159,13.0451
2026-04-08 05:27:07,38,60,0.12772353,0.22284874,0.09094697,0.05946236,314,416,0.81966567,0.49690971,38,curate,curate,1,1,314,416,13.6213
2026-04-08 05:27:21,39,60,0.12646630,0.22154710,0.08672360,0.06303085,534,53,0.80621326,0.49328053,39,curate,curate,1,1,534,53,13.6379
2026-04-08 05:27:34,40,60,0.12667501,0.22304225,0.09002914,0.06126169,329,223,0.79444492,0.36877251,40,curate,curate,1,1,329,223,13.6336
2026-04-08 05:27:48,41,60,0.13277256,0.22899444,0.08927257,0.06269979,223,471,0.81258965,0.49678355,41,curate,curate,1,1,223,471,13.6264
2026-04-08 05:28:02,42,60,0.11857687,0.22434607,0.09213302,0.06197670,111,550,0.79615307,0.40513408,42,curate,curate,1,1,111,550,13.6377
2026-04-08 05:28:15,43,60,0.12119588,0.22192563,0.09602170,0.06110739,475,383,0.79878640,0.49059993,43,curate,curate,1,1,475,383,13.6202
2026-04-08 05:28:29,44,60,0.11859257,0.22238369,0.08660387,0.05760022,167,96,0.78418982,0.37862137,44,curate,curate,1,1,167,96,13.6334
2026-04-08 05:28:43,45,60,0.11693735,0.21631064,0.08526151,0.05823190,376,405,0.81928277,0.49035281,45,curate,curate,1,1,376,405,13.5883
2026-04-08 05:28:56,46,60,0.10987835,0.21052651,0.08964789,0.05794146,550,75,0.81448215,0.33467191,46,curate,curate,1,1,550,75,13.6468
2026-04-08 05:29:10,47,60,0.11336726,0.22091584,0.09025061,0.05719860,483,47,0.79209018,0.39865610,47,curate,curate,1,1,483,47,13.5104
2026-04-08 05:29:23,48,60,0.11231608,0.20512716,0.08470356,0.05802535,539,330,0.79152453,0.49418059,48,curate,curate,1,1,539,330,13.6289
2026-04-08 05:29:37,49,60,0.11066423,0.22055663,0.08574265,0.05639666,504,72,0.80279088,0.49899253,49,curate,curate,1,1,504,72,13.6029
2026-04-08 05:29:51,50,60,0.10999982,0.21812819,0.08780567,0.05637344,313,356,0.80575013,0.40113643,50,curate,curate,1,1,313,356,13.5923
2026-04-08 05:30:04,51,60,0.10759015,0.21696897,0.08556012,0.05481600,503,90,0.79030240,0.50174719,51,curate,curate,1,1,503,90,13.6083
2026-04-08 05:30:18,52,60,0.11141588,0.20211445,0.08259603,0.05844198,52,256,0.77515018,0.45544806,52,curate,curate,1,1,52,256,13.6453
2026-04-08 05:30:31,53,60,0.10372498,0.21120095,0.08400889,0.05167626,416,587,0.80486763,0.47465533,53,curate,curate,1,1,416,587,13.6396
2026-04-08 05:30:45,54,60,0.10411226,0.20869580,0.08444711,0.05249816,375,315,0.78533918,0.47824898,54,curate,curate,1,1,375,315,13.6243
2026-04-08 05:30:59,55,60,0.10224799,0.21525815,0.08112177,0.05006652,220,580,0.77464360,0.49905697,55,curate,curate,1,1,220,580,13.6212
2026-04-08 05:31:12,56,60,0.09730150,0.20246738,0.08105340,0.04932672,383,364,0.75638169,0.50432694,56,curate,curate,1,1,383,364,13.6553
2026-04-08 05:31:26,57,60,0.10244372,0.21728733,0.08248830,0.04980343,242,222,0.75867349,0.48275104,57,curate,curate,1,1,242,222,13.5887
2026-04-08 05:31:40,58,60,0.09620750,0.21274172,0.07761301,0.05045023,553,344,0.77166623,0.43436217,58,curate,curate,1,1,553,344,13.6582
2026-04-08 05:31:53,59,60,0.09337788,0.20497505,0.07808950,0.05683382,535,231,0.80482554,0.41131693,59,curate,curate,1,1,535,231,13.6138
2026-04-08 05:32:07,60,60,0.09577282,0.21496400,0.08059358,0.04801534,317,213,0.76897478,0.51832604,60,curate,curate,1,1,317,213,13.6379
2026-04-08 05:32:21,61,60,0.09447380,0.21543922,0.07997943,0.04870747,272,419,0.76922327,0.39396733,60,exchange,exchange,1,1,272,419,13.6638
2026-04-08 05:32:34,62,60,0.10081337,0.21492659,0.07838634,0.04974295,432,579,0.75798130,0.37482589,60,exchange,exchange,1,1,432,579,13.5992
2026-04-08 05:32:48,63,60,0.09016627,0.21123548,0.08051634,0.04905531,256,194,0.76107150,0.49782193,60,exchange,exchange,1,1,256,194,13.6384
2026-04-08 05:33:01,64,60,0.09483076,0.21099763,0.07568028,0.04903071,54,238,0.77336156,0.42201737,60,exchange,exchange,1,1,54,238,13.6299
2026-04-08 05:33:15,65,60,0.09669275,0.20097685,0.07271315,0.04959745,89,577,0.76420480,0.46742263,60,exchange,exchange,1,1,89,577,13.6456
2026-04-08 05:33:29,66,60,0.09046517,0.21285632,0.07630368,0.04892557,419,19,0.75039649,0.41926995,60,exchange,exchange,1,1,419,19,13.6658
2026-04-08 05:33:42,67,60,0.09079739,0.21817468,0.07671729,0.04945024,502,438,0.77413809,0.45797455,60,exchange,exchange,1,1,502,438,13.6804
2026-04-08 05:33:56,68,60,0.09099484,0.21060272,0.07783194,0.04905358,577,479,0.81150484,0.42492107,60,exchange,exchange,1,1,577,479,13.6783
2026-04-08 05:34:10,69,60,0.08823802,0.21117043,0.07359590,0.04735541,296,585,0.74282289,0.47948414,60,exchange,exchange,1,1,296,585,13.6297
2026-04-08 05:34:23,70,60,0.09463438,0.21497990,0.07812707,0.04753479,166,261,0.78938937,0.48410559,60,exchange,exchange,1,1,166,261,13.5927
2026-04-08 05:34:37,71,60,0.08652086,0.20974505,0.08011929,0.04663340,279,592,0.76599848,0.49182650,60,exchange,exchange,1,1,279,592,13.6127
2026-04-08 05:34:51,72,60,0.08786618,0.21673903,0.07492588,0.04676726,231,82,0.78668368,0.47364563,60,exchange,exchange,1,1,231,82,13.6979
2026-04-08 05:35:04,73,60,0.08381267,0.20920026,0.07900286,0.04579505,592,289,0.80793619,0.49652752,60,exchange,exchange,1,1,592,289,13.6418
2026-04-08 05:35:18,74,60,0.08229784,0.21333985,0.07695950,0.04571218,485,247,0.76963818,0.43428290,60,exchange,exchange,1,1,485,247,13.6180
2026-04-08 05:35:31,75,60,0.08486022,0.21383159,0.07753333,0.04533225,90,505,0.73360032,0.48496029,60,exchange,exchange,1,1,90,505,13.6230
2026-04-08 05:35:45,76,60,0.08634882,0.20799597,0.07292359,0.04682672,222,511,0.76275057,0.47801429,60,exchange,exchange,1,1,222,511,13.6620
2026-04-08 05:35:59,77,60,0.09018013,0.22164790,0.07858937,0.04380301,585,544,0.78049779,0.46619332,60,exchange,exchange,1,1,585,544,13.6651
2026-04-08 05:36:12,78,60,0.09123548,0.21843521,0.07144620,0.04441619,505,16,0.81750000,0.48396397,60,exchange,exchange,1,1,505,16,13.6204
2026-04-08 05:36:26,79,60,0.08614153,0.21440069,0.07041869,0.04599436,384,168,0.76119089,0.44253346,60,exchange,exchange,1,1,384,168,13.6225
2026-04-08 05:36:40,80,60,0.08321740,0.20848830,0.07266480,0.04967946,289,538,0.77953553,0.42913729,60,exchange,exchange,1,1,289,538,13.6335
2026-04-08 05:36:53,81,60,0.08718587,0.20907760,0.07028989,0.04394830,315,594,0.77199090,0.49199691,60,exchange,exchange,1,1,315,594,13.5296
