epoch,train_mse_uts,train_mse_fs,full_mae_uts,full_mae_fs,full_score
986,0.02071106,0.05227195,0.07978339,0.14229754,0.22208093
987,0.02057193,0.05223842,0.07825788,0.14534324,0.22360113
988,0.02076050,0.06224031,0.07661100,0.14576714,0.22237813
989,0.01890657,0.05826547,0.07814685,0.14165507,0.21980192
990,0.01904198,0.05220034,0.07843653,0.13824071,0.21667724
991,0.02076563,0.05395076,0.07679761,0.13852376,0.21532137
992,0.01925034,0.05537850,0.07773075,0.14230165,0.22003239
993,0.02116700,0.05194256,0.07759361,0.14727664,0.22487025
994,0.01895894,0.05839804,0.07713585,0.14693937,0.22407522
995,0.02216543,0.05980318,0.07923062,0.14313595,0.22236657
996,0.02089345,0.05773573,0.07801341,0.14159152,0.21960493
997,0.01881073,0.05229224,0.07699651,0.14186285,0.21885936
998,0.02018863,0.05265041,0.08092003,0.14095357,0.22187360
999,0.01972920,0.05434136,0.08010008,0.14238401,0.22248409
1000,0.01918194,0.05498260,0.07650485,0.14643523,0.22294008
1001,0.02025347,0.05942326,0.07925780,0.14407176,0.22332956
1002,0.01975446,0.04327635,0.08074716,0.14071897,0.22146612
1003,0.02028556,0.06257196,0.07773293,0.13857494,0.21630787
1004,0.02138513,0.05153302,0.07724441,0.13889530,0.21613971
1005,0.01917446,0.05045171,0.07949820,0.13864376,0.21814196
1006,0.02153096,0.05892053,0.07787151,0.14049713,0.21836864
1007,0.01968211,0.06022777,0.07432843,0.14506160,0.21939003
1008,0.01890695,0.06034852,0.07687029,0.14708354,0.22395383
1009,0.02044929,0.05436233,0.07837996,0.14565901,0.22403897
1010,0.02148336,0.04844098,0.07773156,0.14297986,0.22071142
1011,0.01879339,0.05552857,0.07728516,0.14253029,0.21981546
1012,0.01838022,0.05666788,0.07864660,0.14197096,0.22061756
1013,0.01970884,0.04998123,0.07888637,0.14149867,0.22038504
1014,0.02017865,0.05562136,0.07644612,0.14170675,0.21815287
1015,0.01858380,0.05395078,0.07650468,0.14007697,0.21658165
1016,0.01803194,0.05687442,0.07899426,0.13852890,0.21752316
1017,0.02031180,0.04782881,0.07786593,0.13815743,0.21602336
1018,0.01763972,0.06147324,0.07637271,0.13787667,0.21424939
1019,0.01944982,0.05671529,0.07532967,0.13734242,0.21267209
1020,0.01981426,0.06292018,0.07685735,0.14009736,0.21695472
1021,0.01952210,0.05712177,0.07792044,0.14192022,0.21984066
1022,0.02034126,0.04917550,0.07720198,0.13995442,0.21715640
1023,0.02056807,0.04939752,0.07498102,0.14003630,0.21501732
1024,0.02000263,0.05616196,0.07562599,0.14152192,0.21714790
1025,0.01957521,0.05264876,0.07806071,0.14213030,0.22019101
1026,0.02313796,0.05831337,0.07738943,0.14009580,0.21748523
1027,0.01995559,0.05640219,0.07684452,0.13761547,0.21445999
1028,0.02192417,0.05364830,0.07590158,0.13706891,0.21297049
1029,0.01976193,0.05780315,0.07585178,0.14226437,0.21811614
1030,0.01952900,0.05728440,0.07596399,0.14278238,0.21874636
1031,0.01933044,0.06140113,0.07537684,0.14005782,0.21543466
1032,0.01933352,0.06354596,0.07458323,0.13854511,0.21312834
1033,0.01950826,0.05426402,0.07500320,0.13873422,0.21373742
1034,0.01935066,0.05294022,0.07563625,0.13834780,0.21398405
1035,0.01927050,0.05694291,0.07571823,0.13907447,0.21479271
1036,0.02106707,0.05645655,0.07541390,0.14065072,0.21606462
1037,0.01955419,0.05022108,0.07466525,0.13775651,0.21242176
1038,0.01816135,0.05427151,0.07492682,0.13719794,0.21212476
1039,0.01943623,0.05570677,0.07378775,0.13774660,0.21153435
1040,0.02147103,0.04538048,0.07424346,0.13872437,0.21296783
1041,0.01846229,0.05617133,0.07539378,0.14036511,0.21575889
1042,0.01850842,0.05714591,0.07598169,0.14332660,0.21930829
1043,0.02063856,0.06000979,0.07500204,0.14463089,0.21963293
1044,0.01942635,0.06494390,0.07499690,0.13963164,0.21462855
1045,0.01973790,0.05643827,0.07565853,0.13588522,0.21154375
1046,0.01914088,0.05099784,0.07746366,0.13597395,0.21343760
1047,0.02026212,0.05726606,0.07594091,0.13589440,0.21183532
1048,0.01940735,0.06157036,0.07645182,0.13548523,0.21193705
1049,0.02046869,0.05517484,0.07732999,0.13688812,0.21421810
1050,0.01881771,0.05024901,0.07464570,0.14273308,0.21737878
1051,0.01993968,0.05627490,0.07438715,0.15096402,0.22535117
1052,0.01987358,0.05846659,0.07594246,0.15144269,0.22738515
1053,0.01845095,0.05439148,0.07621734,0.14237097,0.21858831
1054,0.01795265,0.05495887,0.07470191,0.13689795,0.21159986
1055,0.01807668,0.05587875,0.07423101,0.13597409,0.21020511
1056,0.01990175,0.05774834,0.07408366,0.13462758,0.20871124
1057,0.01799318,0.05841411,0.07390329,0.13543978,0.20934308
1058,0.01931680,0.05357743,0.07308052,0.13856176,0.21164227
1059,0.01753644,0.05303891,0.07289673,0.13952427,0.21242100
1060,0.01931781,0.04601508,0.07276980,0.13749801,0.21026780
1061,0.01990804,0.04801228,0.07426509,0.13581227,0.21007735
1062,0.01948862,0.05130369,0.07638761,0.13600571,0.21239332
1063,0.01877393,0.05134197,0.07721556,0.13762659,0.21484215
1064,0.01814460,0.05497682,0.07598627,0.13858028,0.21456654
1065,0.02008608,0.05589635,0.07396327,0.13629925,0.21026252
1066,0.02077353,0.05627065,0.07387616,0.13516285,0.20903900
1067,0.01914287,0.05439998,0.07367089,0.13574107,0.20941196
1068,0.01988480,0.05932369,0.07353059,0.13699770,0.21052829
1069,0.01771600,0.05511555,0.07450987,0.13696562,0.21147549
1070,0.01959217,0.05250254,0.07531326,0.14004289,0.21535615
1071,0.01939297,0.05100307,0.07675447,0.14228189,0.21903636
1072,0.02035600,0.05813496,0.07676353,0.14483342,0.22159695
1073,0.01992442,0.05674608,0.07692318,0.14616907,0.22309225
1074,0.01890503,0.06158944,0.07766929,0.14501907,0.22268836
1075,0.02162074,0.05790980,0.07668588,0.14144292,0.21812881
1076,0.02004043,0.04884321,0.07474907,0.13896473,0.21371380
1077,0.01840947,0.05634433,0.07372591,0.14252141,0.21624732
1078,0.01933206,0.05133772,0.07267000,0.14257064,0.21524064
1079,0.01841838,0.04984444,0.07377345,0.13983475,0.21360820
1080,0.01872321,0.05647616,0.07463287,0.13773386,0.21236673
1081,0.01851354,0.05394619,0.07315256,0.13810487,0.21125743
1082,0.01871499,0.05856802,0.07388883,0.13925034,0.21313917
1083,0.02055863,0.05897544,0.07507008,0.13914578,0.21421586
1084,0.01970678,0.04868664,0.07438841,0.13878892,0.21317734
1085,0.01937145,0.06051751,0.07777920,0.13643456,0.21421376
1086,0.02006532,0.05721648,0.07525101,0.13738847,0.21263948
1087,0.01999389,0.05719441,0.07442812,0.14657417,0.22100229
1088,0.01957853,0.05408463,0.07639019,0.15218414,0.22857434
1089,0.01833692,0.05083794,0.07729369,0.14489095,0.22218464
1090,0.02019174,0.05690183,0.07491001,0.13906580,0.21397582
1091,0.02003673,0.05831021,0.07313076,0.14024989,0.21338066
1092,0.01949246,0.05048678,0.07302113,0.14279334,0.21581447
1093,0.01919300,0.05089009,0.07304802,0.14003310,0.21308111
1094,0.01935234,0.05998027,0.07440797,0.13566326,0.21007123
1095,0.01917017,0.05474710,0.07532645,0.13826393,0.21359038
1096,0.01949636,0.05286666,0.07474547,0.14045802,0.21520349
1097,0.01778391,0.05242095,0.07490412,0.13905314,0.21395726
1098,0.01972555,0.05958593,0.07569348,0.13643327,0.21212675
1099,0.01935614,0.05727532,0.07556703,0.13662557,0.21219260
1100,0.01900792,0.06075414,0.07416133,0.13783260,0.21199393
1101,0.01779386,0.05396972,0.07274137,0.13903746,0.21177883
1102,0.01977831,0.05355515,0.07478177,0.14047666,0.21525843
1103,0.02075024,0.05515875,0.07501817,0.14102009,0.21603826
1104,0.02004340,0.05442738,0.07408699,0.14038461,0.21447161
1105,0.01957226,0.05295436,0.07474719,0.13746448,0.21221167
1106,0.01732823,0.05402708,0.07716653,0.13638017,0.21354669
1107,0.01849033,0.04860257,0.07768713,0.13522892,0.21291605
1108,0.02006833,0.04973563,0.07519398,0.13382907,0.20902305
1109,0.01803730,0.05556559,0.07336958,0.13352196,0.20689154
1110,0.01915563,0.05680109,0.07652994,0.13390499,0.21043494
1111,0.01898257,0.05011292,0.07959608,0.13550438,0.21510046
1112,0.02138693,0.05137610,0.07695365,0.13742360,0.21437725
1113,0.02089146,0.05443707,0.07306921,0.13491438,0.20798359
1114,0.01790015,0.05779594,0.07730860,0.13536014,0.21266874
1115,0.01895281,0.04868558,0.07963382,0.13612017,0.21575399
1116,0.02175121,0.05027721,0.07690381,0.13543788,0.21234168
1117,0.02064698,0.04700702,0.07757834,0.13642569,0.21400403
1118,0.01839895,0.05423465,0.07754841,0.13850817,0.21605659
1119,0.02142788,0.04966424,0.07537325,0.14178526,0.21715852
1120,0.01910898,0.05001364,0.08400984,0.13973312,0.22374296
1121,0.01879023,0.05128693,0.08313288,0.13796978,0.22110265
1122,0.02154747,0.05141548,0.07490503,0.13644822,0.21135325
1123,0.02048816,0.04794924,0.07679481,0.13586426,0.21265907
1124,0.01981922,0.05313288,0.07846689,0.13506724,0.21353413
1125,0.02013570,0.05450780,0.07531824,0.13811249,0.21343073
1126,0.01668358,0.05104628,0.07353454,0.14269201,0.21622656
1127,0.01782195,0.06015728,0.07433588,0.13907221,0.21340809
1128,0.01851292,0.05255235,0.07422868,0.13250893,0.20673762
1129,0.01921561,0.05063445,0.07288355,0.13186044,0.20474399
1130,0.01940951,0.04679765,0.07330807,0.13265435,0.20596243
1131,0.01808743,0.05050280,0.07311197,0.13432066,0.20743263
1132,0.01929859,0.05004685,0.07252552,0.13659190,0.20911742
1133,0.01873556,0.04953249,0.07403205,0.13632351,0.21035556
1134,0.01767292,0.05656172,0.07591397,0.13437900,0.21029297
1135,0.01918615,0.05206697,0.07651320,0.13373829,0.21025150
1136,0.01937372,0.04897147,0.07399154,0.13444501,0.20843656
1137,0.01889625,0.05446307,0.07299156,0.13504928,0.20804084
1138,0.01784215,0.05410719,0.07415711,0.13452584,0.20868295
1139,0.01857963,0.05241524,0.07408865,0.13435103,0.20843968
1140,0.02100556,0.05333175,0.07284323,0.13473788,0.20758111
1141,0.01861629,0.05134675,0.07293651,0.13590592,0.20884243
1142,0.01874587,0.04967219,0.07463413,0.13602069,0.21065482
1143,0.01875787,0.04965071,0.07245876,0.13486941,0.20732817
1144,0.01764002,0.05525702,0.07267796,0.13427596,0.20695392
1145,0.01822857,0.05225475,0.07271997,0.13421017,0.20693014
1146,0.01786520,0.05482775,0.07251722,0.13381590,0.20633312
1147,0.02026501,0.05583051,0.07328413,0.13319838,0.20648251
1148,0.01921710,0.05252639,0.07456375,0.13583930,0.21040305
1149,0.01840267,0.05397418,0.07418311,0.13685307,0.21103618
1150,0.01924511,0.05216125,0.07204594,0.13381788,0.20586382
1151,0.01885217,0.05249207,0.07121861,0.13410641,0.20532502
1152,0.01694513,0.05394258,0.07445101,0.13421659,0.20866760
1153,0.01959086,0.06154326,0.07424419,0.13140334,0.20564753
1154,0.01816887,0.05345391,0.07340559,0.13459156,0.20799715
1155,0.01905089,0.04847391,0.07305334,0.14148001,0.21453335
1156,0.01889934,0.05125831,0.07063775,0.14276004,0.21339779
1157,0.01786455,0.05198073,0.07044300,0.13709936,0.20754235
1158,0.01765765,0.05065923,0.07247282,0.13311076,0.20558358
1159,0.01896409,0.05602314,0.07331743,0.13372715,0.20704458
1160,0.01855542,0.05410622,0.07447346,0.13423426,0.20870773
1161,0.01742428,0.05450905,0.07390227,0.13050249,0.20440476
1162,0.01713155,0.05093751,0.07302365,0.13419643,0.20722008
1163,0.01744432,0.05509416,0.07325042,0.14844193,0.22169235
1164,0.01832378,0.05756456,0.07369970,0.15329580,0.22699550
1165,0.01850646,0.05376212,0.07236973,0.14176117,0.21413090
1166,0.01823680,0.05382802,0.07271134,0.13315536,0.20586670
1167,0.01905668,0.04586094,0.07289647,0.13568656,0.20858303
1168,0.01746300,0.05363970,0.07284755,0.13464813,0.20749567
1169,0.01967648,0.04940876,0.07324075,0.13229461,0.20553536
1170,0.01852194,0.05172342,0.07415573,0.13354683,0.20770256
1171,0.01971835,0.05445964,0.07458030,0.13513729,0.20971759
1172,0.01840210,0.04921612,0.07372811,0.13320313,0.20693124
1173,0.01827253,0.04661646,0.07258499,0.13000412,0.20258911
1174,0.01824475,0.05141620,0.07114985,0.12986836,0.20101821
1175,0.01752570,0.05924401,0.07145116,0.13095514,0.20240631
1176,0.01832252,0.05328235,0.07023366,0.13067192,0.20090558
1177,0.01792834,0.05224466,0.06987289,0.13148409,0.20135698
1178,0.01710407,0.04654845,0.07008783,0.13519765,0.20528548
1179,0.01862131,0.05183002,0.07139041,0.13781294,0.20920335
1180,0.01926513,0.05129527,0.07341743,0.13524434,0.20866177
1181,0.01919360,0.05322257,0.07442711,0.13149978,0.20592689
1182,0.01912620,0.05608017,0.07476730,0.13151391,0.20628121
1183,0.01736873,0.04650349,0.07453953,0.13245472,0.20699426
1184,0.01884699,0.05210536,0.07402077,0.13277072,0.20679148
1185,0.01750707,0.04943517,0.07226192,0.13390985,0.20617177
1186,0.01786819,0.04695493,0.07043050,0.13481966,0.20525016
1187,0.01917851,0.04733966,0.07152248,0.13530231,0.20682479
1188,0.01735478,0.05110657,0.07179191,0.13542455,0.20721646
1189,0.01736271,0.05079297,0.07192696,0.13481985,0.20674681
1190,0.01781860,0.04652429,0.07250294,0.13345817,0.20596111
1191,0.01586078,0.04941004,0.07233898,0.13152167,0.20386066
1192,0.01859054,0.05273266,0.07120105,0.13162598,0.20282703
1193,0.01719737,0.04645329,0.07248180,0.13155805,0.20403984
1194,0.01824525,0.05318986,0.07473414,0.13283980,0.20757394
1195,0.01924013,0.04798323,0.07043570,0.13395654,0.20439223
1196,0.01815720,0.05455529,0.07257808,0.13487294,0.20745102
1197,0.02028899,0.04773619,0.07609430,0.13416530,0.21025960
1198,0.01947401,0.05554144,0.07599378,0.13192643,0.20792022
1199,0.01789501,0.05229035,0.07317775,0.13182190,0.20499966
1200,0.01800460,0.04890576,0.07131958,0.13315120,0.20447078
1201,0.01849396,0.05481441,0.06898897,0.13284032,0.20182929
1202,0.01740766,0.05002555,0.07061487,0.13441563,0.20503050
1203,0.01896616,0.05423474,0.07171120,0.13564445,0.20735566
1204,0.01868291,0.05533491,0.07387199,0.13395102,0.20782301
1205,0.01605155,0.04485862,0.07549798,0.13254917,0.20804714
1206,0.01696330,0.05180875,0.07384717,0.13277239,0.20661955
1207,0.01959507,0.04970726,0.07237847,0.13409027,0.20646875
1208,0.01723370,0.05119725,0.07324321,0.13359806,0.20684127
1209,0.01759615,0.04877284,0.07249466,0.13336825,0.20586291
1210,0.01744895,0.04732799,0.07135008,0.13515425,0.20650433
1211,0.01814020,0.04905024,0.07304188,0.13437450,0.20741638
1212,0.01800818,0.05255875,0.07620572,0.13319927,0.20940499
1213,0.01960850,0.04960443,0.07627892,0.13210706,0.20838598
1214,0.01840241,0.04623935,0.07294603,0.13178065,0.20472668
1215,0.01867163,0.05625775,0.07333741,0.13346361,0.20680101
1216,0.01848703,0.05294214,0.07398296,0.13439052,0.20837348
1217,0.01822653,0.05266651,0.07264806,0.13303372,0.20568178
1218,0.01812214,0.05392712,0.07215192,0.13349648,0.20564840
1219,0.01798597,0.05264599,0.07471966,0.13712972,0.21184938
1220,0.02038898,0.04842120,0.07344381,0.13634524,0.20978905
1221,0.01737711,0.05256277,0.07041897,0.13149442,0.20191339
1222,0.01787777,0.04326863,0.07056785,0.12965520,0.20022305
1223,0.01904079,0.04708314,0.07037168,0.13067003,0.20104171
1224,0.01663890,0.05438740,0.07107729,0.13116096,0.20223825
1225,0.01720022,0.05810365,0.07203174,0.13119644,0.20322818
1226,0.01881532,0.04791065,0.07134394,0.13389663,0.20524058
1227,0.01788747,0.04779178,0.06983896,0.13796039,0.20779935
1228,0.01775742,0.04476604,0.06943756,0.13698626,0.20642381
1229,0.01802579,0.05430264,0.07104181,0.13376544,0.20480726
1230,0.01878786,0.04837183,0.07157856,0.13126078,0.20283934
1231,0.01864045,0.04756203,0.07103404,0.13286570,0.20389973
1232,0.01767826,0.05225679,0.07076005,0.13031967,0.20107972
1233,0.01639216,0.04717241,0.07417406,0.12992306,0.20409712
1234,0.01730553,0.04409410,0.07187831,0.13441336,0.20629167
1235,0.01692240,0.04995200,0.06916174,0.13558018,0.20474192
1236,0.01679840,0.04796176,0.07271481,0.13261540,0.20533022
1237,0.01909491,0.05817628,0.07083332,0.13194574,0.20277906
1238,0.01817124,0.05536037,0.06997236,0.13231722,0.20228957
1239,0.01920097,0.04151640,0.06946576,0.13109456,0.20056032
1240,0.01829019,0.04491099,0.07116850,0.12754069,0.19870919
1241,0.01738187,0.04062003,0.07079840,0.12624206,0.19704045
1242,0.01720456,0.04805764,0.07014216,0.12802662,0.19816878
1243,0.01625394,0.05138781,0.07080400,0.12787265,0.19867665
1244,0.01713618,0.05053140,0.07319585,0.12687206,0.20006792
1245,0.01778128,0.04526581,0.07329107,0.12639396,0.19968503
1246,0.01662239,0.05115260,0.07189758,0.12699208,0.19888966
1247,0.01709328,0.05309903,0.07099272,0.12765715,0.19864986
1248,0.01705099,0.04824689,0.07483806,0.12742144,0.20225950
1249,0.01923329,0.04496163,0.07642217,0.12715420,0.20357637
1250,0.01743798,0.04990073,0.07443065,0.12799822,0.20242887
1251,0.01801017,0.04588281,0.07198047,0.12842222,0.20040268
1252,0.01842082,0.05039171,0.07115373,0.12744369,0.19859742
1253,0.01663634,0.04509952,0.07210015,0.12797534,0.20007549
1254,0.01750864,0.04777069,0.07275649,0.12880810,0.20156459
1255,0.01744631,0.04515704,0.07178001,0.12859276,0.20037277
1256,0.01690075,0.05067561,0.07048929,0.12945785,0.19994713
1257,0.01769222,0.05133327,0.07099843,0.13107577,0.20207420
1258,0.01720836,0.04555672,0.07310720,0.12871298,0.20182018
1259,0.01764367,0.04267761,0.07531656,0.12789172,0.20320828
1260,0.01883465,0.04933411,0.07340624,0.12735552,0.20076176
1261,0.01756095,0.04760265,0.07089727,0.12792605,0.19882332
1262,0.01822365,0.04858410,0.06887778,0.12857381,0.19745158
1263,0.01757429,0.05859307,0.07047454,0.12846178,0.19893631
1264,0.01965776,0.05106765,0.07133254,0.12948830,0.20082084
1265,0.01760830,0.05282589,0.07023600,0.13144603,0.20168203
1266,0.01893917,0.04949683,0.06926137,0.13140732,0.20066869
1267,0.01790288,0.05078914,0.06961029,0.12919457,0.19880486
1268,0.01621218,0.04943345,0.06939705,0.12818603,0.19758308
1269,0.01668541,0.04779874,0.06990115,0.12798083,0.19788197
1270,0.01663195,0.05061733,0.06911710,0.12926131,0.19837841
1271,0.01756327,0.04750780,0.06843975,0.12837888,0.19681863
1272,0.01693729,0.05138115,0.06939857,0.12797354,0.19737211
1273,0.01744367,0.04577374,0.06802470,0.13400516,0.20202986
1274,0.01716684,0.05029674,0.06753527,0.13633104,0.20386631
1275,0.01707450,0.05645772,0.06814947,0.12884311,0.19699258
1276,0.01837519,0.04422898,0.06833360,0.12700740,0.19534099
1277,0.01870450,0.05073450,0.06887932,0.12899745,0.19787677
1278,0.01646274,0.05074620,0.06986322,0.12814254,0.19800575
1279,0.01784350,0.05143923,0.07087952,0.12761858,0.19849810
1280,0.01860862,0.05014244,0.07106049,0.13373089,0.20479137
1281,0.01744830,0.05338694,0.06940139,0.13451575,0.20391714
1282,0.01875492,0.05027151,0.06845485,0.13211212,0.20056696
1283,0.01769210,0.04879595,0.06780165,0.13145025,0.19925191
1284,0.01704591,0.05027910,0.06744198,0.13185582,0.19929779
1285,0.01797526,0.05385767,0.06884862,0.13125506,0.20010368
1286,0.01710134,0.04977185,0.07095991,0.13054079,0.20150070
1287,0.01665974,0.05227328,0.07172342,0.13128845,0.20301187
1288,0.01763621,0.05766027,0.07099925,0.13192472,0.20292397
1289,0.01738535,0.05014368,0.06983208,0.13308127,0.20291335
1290,0.01697841,0.04616719,0.07221576,0.13423069,0.20644645
1291,0.01874068,0.04969065,0.07556438,0.13459654,0.21016092
1292,0.01825423,0.05254468,0.07360160,0.13404875,0.20765035
1293,0.01796357,0.04719530,0.07025924,0.13313749,0.20339674
1294,0.01783153,0.05172237,0.07158194,0.13109206,0.20267399
1295,0.01613042,0.04784937,0.07281803,0.12859638,0.20141441
1296,0.01861811,0.04526643,0.06958488,0.12748496,0.19706984
1297,0.01664286,0.04779688,0.06959704,0.12853438,0.19813142
1298,0.01634587,0.05391865,0.07186934,0.12977655,0.20164590
1299,0.01960046,0.05036643,0.06873346,0.12977521,0.19850867
1300,0.01692662,0.04931349,0.07240464,0.12965165,0.20205629
1301,0.01744355,0.04476633,0.07419831,0.12787047,0.20206878
1302,0.01720360,0.04608544,0.07382058,0.12724246,0.20106304
1303,0.01762534,0.04533388,0.07370888,0.12880097,0.20250986
1304,0.01899584,0.05009642,0.07062393,0.13083760,0.20146154
1305,0.01628892,0.05192598,0.06893796,0.13466963,0.20360759
1306,0.01538343,0.04962147,0.07184938,0.13485290,0.20670228
1307,0.01732989,0.04406859,0.07252465,0.13171095,0.20423560
1308,0.01777853,0.04793280,0.07036567,0.12922084,0.19958652
1309,0.01754647,0.04463904,0.06861275,0.12663208,0.19524483
1310,0.01801770,0.04464728,0.06942161,0.12673667,0.19615828
1311,0.01694015,0.04433486,0.07234964,0.12792102,0.20027065
1312,0.01949741,0.05010927,0.07252090,0.12783776,0.20035866
1313,0.01685152,0.04619473,0.07148931,0.12737295,0.19886226
1314,0.01812614,0.04836366,0.07205178,0.12782669,0.19987847
1315,0.01611418,0.04847684,0.06976251,0.12889153,0.19865404
1316,0.01718653,0.04485297,0.06973808,0.12699042,0.19672850
1317,0.01771873,0.04444302,0.07144904,0.12917039,0.20061943
1318,0.01672091,0.05150882,0.06991327,0.13041440,0.20032766
1319,0.01672363,0.05043523,0.06838264,0.12977496,0.19815760
1320,0.01659083,0.05473993,0.06924830,0.13047414,0.19972244
1321,0.01856671,0.04592803,0.07265796,0.13232468,0.20498264
1322,0.01850107,0.04559912,0.07372444,0.13456683,0.20829127
1323,0.01683190,0.05522665,0.07307027,0.13169566,0.20476593
1324,0.01768315,0.04561099,0.07094843,0.12939407,0.20034250
1325,0.01664728,0.04935589,0.06904074,0.13036627,0.19940700
1326,0.01686999,0.04311110,0.06877854,0.12915687,0.19793541
1327,0.01671176,0.04843044,0.06905161,0.12722477,0.19627638
1328,0.01549502,0.05120190,0.06917772,0.12882170,0.19799943
1329,0.01941498,0.04151183,0.07127877,0.13098063,0.20225940
1330,0.01843943,0.04618453,0.07041940,0.12869032,0.19910972
1331,0.01703324,0.04598895,0.06831075,0.12710194,0.19541269
1332,0.01807055,0.04423703,0.06955859,0.12809342,0.19765201
1333,0.01746171,0.05002562,0.06949716,0.12641692,0.19591408
1334,0.01567949,0.04774233,0.06932786,0.12560144,0.19492930
1335,0.01662179,0.04566104,0.07015429,0.12844911,0.19860341
1336,0.01725866,0.05013810,0.07155938,0.13151819,0.20307757
1337,0.01664744,0.04313911,0.06768287,0.13002326,0.19770613
1338,0.01673117,0.04943905,0.06847412,0.12638843,0.19486255
1339,0.01753060,0.04956449,0.06871955,0.12731314,0.19603269
1340,0.01814681,0.04568897,0.06668701,0.12975399,0.19644100
1341,0.01712955,0.04840166,0.06660820,0.12753689,0.19414509
1342,0.01550160,0.04785634,0.06756151,0.12755387,0.19511537
1343,0.01920531,0.04652871,0.06768116,0.13275336,0.20043451
1344,0.01637478,0.04858883,0.06924892,0.12986560,0.19911452
1345,0.01791492,0.04819522,0.06813590,0.12457302,0.19270892
1346,0.01676057,0.04980542,0.06720077,0.12410524,0.19130600
1347,0.01580583,0.04484478,0.06728172,0.12524061,0.19252233
1348,0.01700870,0.04363283,0.06741387,0.12510851,0.19252238
1349,0.01544576,0.04779767,0.06791394,0.12660976,0.19452370
1350,0.01576823,0.04216157,0.06789723,0.13107328,0.19897051
1351,0.01703288,0.04725384,0.06785681,0.12918468,0.19704149
1352,0.01825709,0.04897511,0.06741685,0.12530020,0.19271705
1353,0.01579402,0.04919587,0.06854339,0.12760402,0.19614741
1354,0.01921009,0.04440566,0.06904014,0.12795001,0.19699015
1355,0.01744395,0.04693211,0.06877984,0.12426732,0.19304717
1356,0.01576759,0.04487564,0.06767438,0.12460447,0.19227885
1357,0.01692072,0.04243801,0.06806795,0.12926613,0.19733407
1358,0.01527499,0.04786072,0.06901887,0.12955466,0.19857353
1359,0.01529665,0.04498968,0.06916932,0.12462055,0.19378987
1360,0.01729986,0.04295579,0.06845269,0.12228657,0.19073926
1361,0.01623457,0.04807725,0.06856057,0.12412019,0.19268076
1362,0.01562811,0.04828891,0.06862020,0.12339655,0.19201676
1363,0.01702743,0.05569600,0.06763606,0.12202951,0.18966557
1364,0.01681303,0.04894598,0.06905590,0.12629305,0.19534895
1365,0.01717923,0.04853505,0.07047722,0.12959515,0.20007237
1366,0.01655924,0.04600422,0.06945102,0.12611833,0.19556935
1367,0.01656630,0.04282882,0.06950002,0.12304518,0.19254521
1368,0.01601327,0.04236518,0.06926180,0.12230983,0.19157163
1369,0.01640896,0.05090194,0.06803182,0.12256127,0.19059309
1370,0.01551555,0.04794825,0.07015152,0.12305523,0.19320675
1371,0.01788610,0.03738511,0.06935099,0.12325712,0.19260811
1372,0.01700637,0.04278999,0.06784291,0.12384224,0.19168515
1373,0.01667460,0.04273694,0.06905413,0.12382518,0.19287930
1374,0.01765405,0.04526194,0.06739809,0.12376577,0.19116385
1375,0.01624887,0.04547532,0.06877271,0.12360530,0.19237801
1376,0.01705582,0.04327508,0.06906886,0.12415267,0.19322152
1377,0.01724111,0.04699789,0.06869487,0.12452004,0.19321491
1378,0.01654200,0.04392317,0.06893425,0.12521100,0.19414525
1379,0.01737558,0.04364957,0.06923331,0.12527467,0.19450799
1380,0.01659434,0.04254940,0.06767860,0.12453898,0.19221758
1381,0.01639552,0.04403521,0.06814180,0.12377508,0.19191688
1382,0.01718492,0.04243996,0.07087547,0.12377574,0.19465121
1383,0.01756626,0.04412136,0.06856634,0.12408529,0.19265163
1384,0.01639738,0.04478397,0.06707051,0.12386505,0.19093556
1385,0.01473982,0.04613391,0.06835272,0.12346929,0.19182201
1386,0.01604608,0.04529620,0.06809874,0.12259189,0.19069063
1387,0.01668969,0.04467002,0.06913770,0.12236586,0.19150356
1388,0.01514255,0.04397831,0.07167701,0.12114640,0.19282340
1389,0.01681773,0.04542695,0.07039232,0.12192443,0.19231675
1390,0.01641991,0.04617910,0.06995047,0.12528388,0.19523435
1391,0.01664736,0.04233337,0.06851870,0.12458184,0.19310053
1392,0.01626270,0.04541261,0.06808526,0.12120496,0.18929022
1393,0.01614978,0.05093505,0.06810469,0.12036360,0.18846829
1394,0.01583750,0.05237964,0.06886563,0.12188052,0.19074615
1395,0.01631781,0.04753225,0.06893237,0.12276962,0.19170199
1396,0.01744447,0.04713084,0.06822864,0.12284270,0.19107134
1397,0.01586716,0.04363830,0.06771451,0.12253160,0.19024611
1398,0.01606196,0.04501197,0.06720329,0.12340140,0.19060469
1399,0.01694386,0.04482192,0.06874117,0.12418506,0.19292623
1400,0.01649232,0.05027774,0.06705754,0.12384696,0.19090451
1401,0.01655246,0.04277151,0.06563063,0.12261038,0.18824101
1402,0.01570680,0.04178953,0.06578509,0.12180205,0.18758713
1403,0.01798565,0.04770402,0.06694735,0.12184864,0.18879599
1404,0.01767459,0.04892235,0.06751376,0.12195762,0.18947138
1405,0.01764978,0.04538590,0.06631173,0.12168192,0.18799365
1406,0.01525244,0.04593476,0.06686752,0.12168434,0.18855186
1407,0.01672182,0.03802452,0.06871752,0.12148216,0.19019969
1408,0.01745822,0.04555003,0.06992585,0.12008576,0.19001161
