epoch,train_mse_uts,train_mse_fs,full_mae_uts,full_mae_fs,full_score
99,0.06439376,0.21684712,0.16936551,0.31672099,0.48608650
100,0.06364891,0.21605763,0.16909817,0.31738308,0.48648125
101,0.06357199,0.21888131,0.16911814,0.31519592,0.48431405
102,0.06350005,0.20988777,0.16772731,0.31297275,0.48070006
103,0.06396922,0.21247131,0.16641922,0.31127879,0.47769801
104,0.06376332,0.21180028,0.16535553,0.31022114,0.47557667
105,0.06554954,0.19855674,0.16488387,0.30991903,0.47480290
106,0.06634545,0.20645505,0.16476680,0.31030831,0.47507511
107,0.06396176,0.21607095,0.16493309,0.31006244,0.47499552
108,0.06244275,0.22172111,0.16570175,0.30936855,0.47507030
109,0.06335630,0.21030055,0.16667140,0.31373125,0.48040265
110,0.05877230,0.21189259,0.16636951,0.31647092,0.48284043
111,0.06419151,0.20516276,0.16612436,0.31592458,0.48204894
112,0.06656557,0.21689177,0.16554463,0.31274512,0.47828975
113,0.06520063,0.21174970,0.16619529,0.31575277,0.48194806
114,0.06349964,0.20761055,0.16803502,0.31502882,0.48306383
115,0.06027785,0.20127134,0.16959755,0.31299651,0.48259406
116,0.06205002,0.21202224,0.17270423,0.31199783,0.48470207
117,0.06670041,0.21134982,0.17192124,0.31349540,0.48541664
118,0.06205513,0.20209961,0.17085768,0.31532267,0.48618035
119,0.06148680,0.20701832,0.16873224,0.31112072,0.47985296
120,0.06357053,0.20758739,0.16795777,0.30766055,0.47561832
121,0.06273184,0.20606491,0.16808020,0.30763432,0.47571452
122,0.06316301,0.21195087,0.16852172,0.30795360,0.47647531
123,0.06352872,0.21132837,0.16882327,0.30578309,0.47460636
124,0.06269050,0.21109150,0.16967985,0.30620864,0.47588849
125,0.06354232,0.22464465,0.17061082,0.30895922,0.47957003
126,0.06706347,0.20313513,0.17249256,0.30830717,0.48079973
127,0.06186584,0.20569527,0.17277382,0.30602184,0.47879566
128,0.06545796,0.22688445,0.17162810,0.30622274,0.47785084
129,0.06372969,0.19372489,0.16972268,0.31133345,0.48105612
130,0.06114544,0.19574203,0.16877954,0.31110853,0.47988807
131,0.06494007,0.20311540,0.16857135,0.30818498,0.47675633
132,0.05819029,0.20132901,0.16872355,0.30845949,0.47718304
133,0.05842377,0.19446200,0.16825746,0.30941343,0.47767089
134,0.06198336,0.20518166,0.16780385,0.30675200,0.47455585
135,0.06103718,0.20569436,0.16853316,0.30632797,0.47486113
136,0.05927706,0.21206908,0.17011356,0.30620983,0.47632340
137,0.06125738,0.20565262,0.17063528,0.30411848,0.47475377
