sample_id,teacher_UTS,linear_UTS,residual_true_UTS,residual_pred_UTS,combined_UTS,abs_err_linear_vs_teacher_UTS,abs_err_residual_pred_vs_true_UTS,abs_err_combined_vs_teacher_UTS,teacher_FS,linear_FS,residual_true_FS,residual_pred_FS,combined_FS,abs_err_linear_vs_teacher_FS,abs_err_residual_pred_vs_true_FS,abs_err_combined_vs_teacher_FS,label_UTS,abs_err_combined_vs_label_UTS,abs_err_teacher_vs_label_UTS,label_FS,abs_err_combined_vs_label_FS,abs_err_teacher_vs_label_FS
0,1.0840343236923218,1.108305375981257,-0.024271052288935113,0.00955064594745636,1.1178560219287133,0.024271052288935113,0.03382169823639147,0.03382169823639147,0.6473160982131958,0.5250039237517159,0.1223121744614799,0.11425387859344482,0.6392578023451607,0.1223121744614799,0.008058295868035081,0.008058295868035081,1.0596116781234741,0.05824434380523913,0.024422645568847656,0.5226442217826843,0.1166135805624764,0.12467187643051147
1,1.1051682233810425,1.1287342643218587,-0.02356604094081627,0.0006222024676389992,1.1293564667894977,0.02356604094081627,0.024188243408455268,0.024188243408455268,0.48771998286247253,0.43832489868844626,0.04939508417402627,0.2409285008907318,0.6792533995791781,0.04939508417402627,0.19153341671670554,0.19153341671670554,1.2015068531036377,0.07215038631413995,0.09633862972259521,0.3118848502635956,0.3673685493155825,0.17583513259887695
2,1.1746156215667725,1.1389487084921597,0.03566691307461278,0.00013105034304317087,1.1390797588352028,0.03566691307461278,0.03553586273156961,0.03553586273156961,0.34886837005615234,0.39498538615681156,-0.046117016100659214,-0.3019719123840332,0.09301347377277835,0.046117016100659214,0.255854896283374,0.255854896283374,1.1975070238113403,0.05842726497613748,0.02289140224456787,0.3128231167793274,0.21980964300654904,0.03604525327682495
3,1.2030134201049805,1.1491631526624606,0.05385026744251986,0.0022886113729327917,1.1514517640353934,0.05385026744251986,0.05156165606958707,0.05156165606958707,0.453887403011322,0.35164587362517663,0.10224152938614539,-0.019193530082702637,0.332452343542474,0.10224152938614539,0.12143505946884803,0.12143505946884803,1.2140729427337646,0.06262117869837125,0.01105952262878418,0.2887524664402008,0.04369987710227319,0.16513493657112122
4,1.2284159660339355,1.1593775970682307,0.06903836896570481,0.0070948852226138115,1.1664724822908445,0.06903836896570481,0.061943483743091,0.061943483743091,0.5027737021446228,0.30830636009445467,0.19446734205016813,0.019089579582214355,0.327395939676669,0.19446734205016813,0.17537776246795378,0.17537776246795378,1.2483664751052856,0.0818939928144411,0.019950509071350098,0.346030056476593,0.018634116799923994,0.15674364566802979
5,1.2391951084136963,1.1695920424158777,0.06960306599781863,0.014549873769283295,1.184141916185161,0.06960306599781863,0.05505319222853533,0.05505319222853533,0.5251985788345337,0.2649668425673837,0.26023173626715,0.034180253744125366,0.29914709631150904,0.26023173626715,0.22605148252302465,0.22605148252302465,1.1998347043991089,0.015692788213947928,0.0393604040145874,0.2734149098396301,0.025732186471878915,0.25178366899490356
6,1.2399296760559082,1.179806485879771,0.06012319017613721,0.02465357445180416,1.2044600603315752,0.06012319017613721,0.03546961572433305,0.03546961572433305,0.5271292328834534,0.22162733303301052,0.30550189985044285,0.04221212863922119,0.2638394616722317,0.30550189985044285,0.26328977121122166,0.26328977121122166,1.205527901649475,0.0010678413178999424,0.034401774406433105,0.3109441101551056,0.04710464848287388,0.21618512272834778
7,0.7673951983451843,0.8893094378363506,-0.12191423949116631,-0.008735544979572296,0.8805738928567783,0.12191423949116631,0.11317869451159401,0.11317869451159401,0.7497979402542114,0.7734200885973415,-0.023622148343130034,-0.2523966133594513,0.5210234752378902,0.023622148343130034,0.22877446501632126,0.22877446501632126,0.7528173327445984,0.12775656011217995,0.014577865600585938,0.4445516765117645,0.07647179872612564,0.3052462637424469
8,0.7296638488769531,0.8219260742425635,-0.09226222536561035,-0.014362065121531487,0.807564009121032,0.09226222536561035,0.07790016024407886,0.07790016024407886,0.7553828954696655,0.8498558293702637,-0.09447293390059819,-0.05409306287765503,0.7957627664926087,0.09447293390059819,0.04037987102294316,0.04037987102294316,0.7224476933479309,0.08511631577310108,0.007216155529022217,0.33082666993141174,0.46493609656119694,0.4245562255382538
9,0.6490918397903442,0.7545427020286457,-0.10545086223830147,-0.019988585263490677,0.734554116765155,0.10545086223830147,0.08546227697481079,0.08546227697481079,0.8955681920051575,0.9262915799213574,-0.030723387916199885,0.29061946272850037,1.2169110426498577,0.030723387916199885,0.32134285064470025,0.32134285064470025,0.6532803177833557,0.08127379898179932,0.004188477993011475,0.8139623403549194,0.4029487022949383,0.08160585165023804
10,1.0650477409362793,1.0325089501870863,0.03253879074919297,0.00955064594745636,1.0420595961345427,0.03253879074919297,0.02298814480173661,0.02298814480173661,0.872314453125,0.7942955977125841,0.07801885541241593,0.11425387859344482,0.9085494763060289,0.07801885541241593,0.03623502318102889,0.03623502318102889,1.0265862941741943,0.015473301960348351,0.03846144676208496,0.7364670634269714,0.17208241287905746,0.13584738969802856
11,1.1417938470840454,1.0631522826979891,0.0786415643860563,0.00013105034304317087,1.0632833330410323,0.0786415643860563,0.07851051404301312,0.07851051404301312,0.38082125782966614,0.6642770601176797,-0.2834558022880136,-0.3019719123840332,0.3623051477336465,0.2834558022880136,0.01851611009601961,0.01851611009601961,1.1224006414413452,0.05911730840031293,0.019393205642700195,0.3350110650062561,0.027294082727390423,0.045810192823410034
12,1.161991834640503,1.07336672686829,0.08862510777221289,0.0022886113729327917,1.0756553382412228,0.08862510777221289,0.0863364963992801,0.0863364963992801,0.540632426738739,0.6209375475860448,-0.08030512084730579,-0.019193530082702637,0.6017440175033422,0.08030512084730579,0.06111159076460315,0.06111159076460315,1.099929928779602,0.024274590538379215,0.06206190586090088,0.6347873210906982,0.03304330358735608,0.09415489435195923
13,1.1924991607666016,1.093795616621707,0.09870354414489446,0.014549873769283295,1.1083454903909904,0.09870354414489446,0.08415367037561117,0.08415367037561117,0.651953399181366,0.5342585165282518,0.11769488265311412,0.034180253744125366,0.5684387702723772,0.11769488265311412,0.08351462890898875,0.08351462890898875,1.080033779144287,0.028311711246703286,0.11246538162231445,0.5454860925674438,0.022952677704933366,0.10646730661392212
14,1.1864895820617676,1.1040100600856004,0.08247952197616715,0.02465357445180416,1.1286636345374046,0.08247952197616715,0.057825947524362986,0.057825947524362986,0.6481311917304993,0.4909190069938787,0.15721218473662057,0.04221212863922119,0.5331311356330999,0.15721218473662057,0.11500005609739938,0.11500005609739938,1.0991936922073364,0.029469942330068166,0.08729588985443115,0.591052234172821,0.05792109853972116,0.05707895755767822
15,0.7343012094497681,0.8135130120421801,-0.079211802592412,-0.008735544979572296,0.8047774670626078,0.079211802592412,0.07047625761283971,0.07047625761283971,1.0283839702606201,1.0427117625582096,-0.014327792297589514,-0.2523966133594513,0.7903151491987583,0.014327792297589514,0.23806882106186178,0.23806882106186178,0.6927419900894165,0.11203547697319127,0.04155921936035156,1.1524347066879272,0.3621195574891689,0.12405073642730713
16,0.6677883863449097,0.7461296484483929,-0.07834126210348324,-0.014362065121531487,0.7317675833268614,0.07834126210348324,0.06397919698195176,0.06397919698195176,1.1509952545166016,1.119147503331132,0.031847751185469564,-0.05409306287765503,1.065054440453477,0.031847751185469564,0.0859408140631246,0.0859408140631246,0.666869044303894,0.06489853902296738,0.000919342041015625,1.1418019533157349,0.0767475128622579,0.0091933012008667
17,0.5930787920951843,0.6787462762344751,-0.08566748413929082,-0.019988585263490677,0.6587576909709845,0.08566748413929082,0.06567889887580014,0.06567889887580014,2.035773992538452,1.1955832538822255,0.8401907386562266,0.29061946272850037,1.486202716610726,0.8401907386562266,0.5495712759277263,0.5495712759277263,0.567052960395813,0.09170473057517148,0.026025831699371338,2.2875866889953613,0.8013839723846354,0.2518126964569092
18,1.0219300985336304,1.0131423088427427,0.00878778969088767,0.00955064594745636,1.022692954790199,0.00878778969088767,0.0007628562565686892,0.0007628562565686892,1.1449062824249268,0.9364100550609137,0.20849622736401308,0.11425387859344482,1.0506639336543584,0.20849622736401308,0.09424234877056825,0.09424234877056836,0.9066269993782043,0.11606595541199471,0.11530309915542603,1.0754330158233643,0.024769082169005863,0.0694732666015625
