tem,fcr,Al,Zr,Sn,Mo,Cr,Nb,Si,V,Ta,Fe,T1,t1,T2,t2,T3,t3,C1_1,C1_2,C1_3,C2_1,C2_2,C2_3,C3_1,C3_2,C3_3,YS,FS,UTS,imgf,,,,
25,0,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,878.05437,30.5208093,1369.757235,0.12887,,,,
25,1500,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1106.397,8.636941,1498.017931,0.12887,,,,
25,2000,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1188.981,16.10919,1600.424328,0.12887,,,,
25,3000,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1217.52,22.244476,1620.740763,0.12887,,,,
25,3500,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1161.385,23.9503,1639.319253,0.12887,,,,
350,0,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,518.602,27.385,984.225775,0.12887,,,,
450,0,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,494.66,30.5483636,933.4393652,0.12887,,,,
550,0,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,551.536,51.964,781.7161188,0.12887,,,,
25,0,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,905.6396,29.6198232,1373.433465,0.02717,,,,
25,1500,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,989.5025,10.1885687,1488.678158,0.02717,,,,
25,2000,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,1193.511,16.604994,1513.126096,0.02717,,,,
25,3000,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,1149.382,21.697745,1544.399125,0.02717,,,,
25,3500,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,1260.286,26.85272,1595.751843,0.02717,,,,
350,0,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,482.3,32.994,919.3178885,0.02717,,,,
450,0,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,449.286,34.388,877.7823978,0.02717,,,,
550,0,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,424.71,64.743,741.4875492,0.02717,,,,
25,0,6.5,2,0,1,0,0,0.15,1,0,0,800,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,910.983714,24.1332981,1392.098809,0.06414,,,,
25,1500,6.5,2,0,1,0,0,0.15,1,0,0,800,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1094.433,9.137458,1498.404726,0.06414,,,,
