tem,sr,Al,Zr,Sn,Mo,Cr,Nb,Si,V,Ta,Fe,T1,t1,T2,t2,T3,t3,C1_1,C1_2,C1_3,C2_1,C2_2,C2_3,C3_1,C3_2,C3_3,YS,FS,ID,imgf,UTS
25,0,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,878.05437,0.305208093,1-5,0.12887 ,1369.757235
25,1500,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1106.397,0.08636941,1-5,0.12887 ,1498.017931
25,2000,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1188.981,0.1610919,1-5,0.12887 ,1600.424328
25,3000,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1217.52,0.22244476,1-5,0.12887 ,1620.740763
25,3500,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1161.385,0.239503,1-5,0.12887 ,1639.319253
350,0,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,518.602,0.27385,1-5,0.12887 ,984.225775
450,0,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,494.66,0.305483636,1-5,0.12887 ,933.4393652
550,0,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,551.536,0.51964,1-5,0.12887 ,781.7161188
25,0,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,905.6396,0.296198232,1-6,0.02717 ,1373.433465
25,1500,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,989.5025,0.101885687,1-6,0.02717 ,1488.678158
25,2000,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,1193.511,0.16604994,1-6,0.02717 ,1513.126096
25,3000,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,1149.382,0.21697745,1-6,0.02717 ,1544.399125
25,3500,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,1260.286,0.2685272,1-6,0.02717 ,1595.751843
350,0,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,482.3,0.32994,1-6,0.02717 ,919.3178885
450,0,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,449.286,0.34388,1-6,0.02717 ,877.7823978
550,0,6.5,2,0,1,0,0,0.15,1,0,0,900,1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,424.71,0.64743,1-6,0.02717 ,741.4875492
25,0,6.5,2,0,1,0,0,0.15,1,0,0,800,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,910.983714,0.241332981,1-7,0.06414 ,1392.098809
25,1500,6.5,2,0,1,0,0,0.15,1,0,0,800,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1094.433,0.09137458,1-7,0.06414 ,1498.404726
25,2000,6.5,2,0,1,0,0,0.15,1,0,0,800,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1215.845,0.1643988,1-7,0.06414 ,1581.12577
25,3000,6.5,2,0,1,0,0,0.15,1,0,0,800,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1253.824,0.225263221,1-7,0.06414 ,1631.921938
25,3500,6.5,2,0,1,0,0,0.15,1,0,0,800,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1299.018,0.20658754,1-7,0.06414 ,1683.680888
350,0,6.5,2,0,1,0,0,0.15,1,0,0,800,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,459.938,0.27807,1-7,0.06414 ,948.0763796
450,0,6.5,2,0,1,0,0,0.15,1,0,0,800,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,446.33,0.30604,1-7,0.06414 ,963.0072525
550,0,6.5,2,0,1,0,0,0.15,1,0,0,800,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,488.056,0.41602,1-7,0.06414 ,775.0534548
25,0,6,4,2,2,0,0,0.1,0,0,0,1050,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,884.18357,0.203353179,2-1,0.74305 ,1302.130054
25,1500,6,4,2,2,0,0,0.1,0,0,0,1050,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1012.071,0.102971263,2-1,0.74305 ,1410.699071
25,2000,6,4,2,2,0,0,0.1,0,0,0,1050,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1080.189,0.16264172,2-1,0.74305 ,1469.124891
25,2500,6,4,2,2,0,0,0.1,0,0,0,1050,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1131.799,0.17784171,2-1,0.74305 ,1506.34111
25,3000,6,4,2,2,0,0,0.1,0,0,0,1050,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1136.685,0.21166777,2-1,0.74305 ,1470.122295
25,3500,6,4,2,2,0,0,0.1,0,0,0,1050,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1209.621,0.1540752,2-1,0.74305 ,1461.616185
350,0,6,4,2,2,0,0,0.1,0,0,0,1050,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,472.314,0.25298,2-1,0.74305 ,892.3166441
450,0,6,4,2,2,0,0,0.1,0,0,0,1050,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,464.032,0.24407,2-1,0.74305 ,852.3372908
550,0,6,4,2,2,0,0,0.1,0,0,0,1050,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,502.362,0.42709,2-1,0.74305 ,890.3173471
25,0,6,4,2,2,0,0,0.1,0,0,0,1000,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,925.834876,0.180359483,2-2,0.58825 ,1329.437327
25,1500,6,4,2,2,0,0,0.1,0,0,0,1000,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1196.769,0.08960363,2-2,0.58825 ,1519.706032
25,2000,6,4,2,2,0,0,0.1,0,0,0,1000,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1155.131,0.14586642,2-2,0.58825 ,1478.409895
25,3000,6,4,2,2,0,0,0.1,0,0,0,1000,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1123.552,0.2042286,2-2,0.58825 ,1510.304459
25,3500,6,4,2,2,0,0,0.1,0,0,0,1000,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1367.632,0.18821157,2-2,0.58825 ,1581.829925
350,0,6,4,2,2,0,0,0.1,0,0,0,1000,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,492.352,0.23506,2-2,0.58825 ,916.1632142
450,0,6,4,2,2,0,0,0.1,0,0,0,1000,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,519.106,0.27098,2-2,0.58825 ,909.0603632
550,0,6,4,2,2,0,0,0.1,0,0,0,1000,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,653.972,0.33285,2-2,0.58825 ,874.0010836
25,0,6,4,2,2,0,0,0.1,0,0,0,980,1,590,8,-1,-1,0,1,0,0,0,1,0,0,0,1040.814646,0.238930004,2-3,0.15726 ,1441.536682
25,1500,6,4,2,2,0,0,0.1,0,0,0,980,1,590,8,-1,-1,0,1,0,0,0,1,0,0,0,1150.069,0.08375568,2-3,0.15726 ,1436.1501
25,2000,6,4,2,2,0,0,0.1,0,0,0,980,1,590,8,-1,-1,0,1,0,0,0,1,0,0,0,1199.786,0.15406569,2-3,0.15726 ,1523.036071
25,2500,6,4,2,2,0,0,0.1,0,0,0,980,1,590,8,-1,-1,0,1,0,0,0,1,0,0,0,1324.419,0.21912882,2-3,0.15726 ,1620.934356
25,3500,6,4,2,2,0,0,0.1,0,0,0,980,1,590,8,-1,-1,0,1,0,0,0,1,0,0,0,1360.015,0.21664128,2-3,0.15726 ,1598.170229
350,0,6,4,2,2,0,0,0.1,0,0,0,980,1,590,8,-1,-1,0,1,0,0,0,1,0,0,0,731.916,0.23498,2-3,0.15726 ,970.3300676
450,0,6,4,2,2,0,0,0.1,0,0,0,980,1,590,8,-1,-1,0,1,0,0,0,1,0,0,0,534.518,0.28103,2-3,0.15726 ,973.2658264
550,0,6,4,2,2,0,0,0.1,0,0,0,980,1,590,8,-1,-1,0,1,0,0,0,1,0,0,0,504.158,0.33107,2-3,0.15726 ,912.5219433
25,0,6,4,2,2,0,0,0.1,0,0,0,960,1,590,8,-1,-1,0,1,0,0,0,1,0,0,0,1056.257568,0.225408615,2-4,0.13005 ,1480.674276
25,1500,6,4,2,2,0,0,0.1,0,0,0,960,1,590,8,-1,-1,0,1,0,0,0,1,0,0,0,1211.395,0.10043898,2-4,0.13005 ,1517.91588
25,2000,6,4,2,2,0,0,0.1,0,0,0,960,1,590,8,-1,-1,0,1,0,0,0,1,0,0,0,1231.752,0.16921885,2-4,0.13005 ,1587.982988
25,3000,6,4,2,2,0,0,0.1,0,0,0,960,1,590,8,-1,-1,0,1,0,0,0,1,0,0,0,1382.17,0.21645717,2-4,0.13005 ,1642.033127
25,3500,6,4,2,2,0,0,0.1,0,0,0,960,1,590,8,-1,-1,0,1,0,0,0,1,0,0,0,1258.04,0.21451689,2-4,0.13005 ,1637.350929
350,0,6,4,2,2,0,0,0.1,0,0,0,960,1,590,8,-1,-1,0,1,0,0,0,1,0,0,0,485.432,0.28699,2-4,0.13005 ,1068.070054
450,0,6,4,2,2,0,0,0.1,0,0,0,960,1,590,8,-1,-1,0,1,0,0,0,1,0,0,0,488.336,0.26497,2-4,0.13005 ,1009.215858
550,0,6,4,2,2,0,0,0.1,0,0,0,960,1,590,8,-1,-1,0,1,0,0,0,1,0,0,0,456.518,0.29904,2-4,0.13005 ,950.9829957
25,0,6,4,2,2,0,0,0.1,0,0,0,960,1,590,8,-1,-1,1,0,0,0,0,1,0,0,0,1239.56919,0.14368563,2-5,0.22595 ,1591.125261
25,2000,6,4,2,2,0,0,0.1,0,0,0,960,1,590,8,-1,-1,1,0,0,0,0,1,0,0,0,1451.33,0.14612354,2-5,0.22595 ,1726.242325
25,2500,6,4,2,2,0,0,0.1,0,0,0,960,1,590,8,-1,-1,1,0,0,0,0,1,0,0,0,1521.496,0.21174482,2-5,0.22595 ,1722.913905
25,3000,6,4,2,2,0,0,0.1,0,0,0,960,1,590,8,-1,-1,1,0,0,0,0,1,0,0,0,1536.782,0.15444307,2-5,0.22595 ,1728.985895
350,0,6,4,2,2,0,0,0.1,0,0,0,960,1,590,8,-1,-1,1,0,0,0,0,1,0,0,0,778.148,0.20896,2-5,0.22595 ,1184.301062
450,0,6,4,2,2,0,0,0.1,0,0,0,960,1,590,8,-1,-1,1,0,0,0,0,1,0,0,0,514.558,0.2429,2-5,0.22595 ,894.0411613
550,0,6,4,2,2,0,0,0.1,0,0,0,960,1,590,8,-1,-1,1,0,0,0,0,1,0,0,0,636.53,0.24008,2-5,0.22595 ,999.097537
25,0,6,4,2,2,0,0,0.1,0,0,0,990,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,939.249436,0.229790594,2-6,0.16265 ,1284.085363
25,2000,6,4,2,2,0,0,0.1,0,0,0,990,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,1334.106,0.149769006,2-6,0.16265 ,1528.506411
25,2500,6,4,2,2,0,0,0.1,0,0,0,990,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,1425.487,0.206273661,2-6,0.16265 ,1613.929091
25,3000,6,4,2,2,0,0,0.1,0,0,0,990,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,1373.082,0.237341519,2-6,0.16265 ,1557.309866
25,4000,6,4,2,2,0,0,0.1,0,0,0,990,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,1268.481,0.23683758,2-6,0.16265 ,1509.342051
350,0,6,4,2,2,0,0,0.1,0,0,0,990,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,618.394,0.30494,2-6,0.16265 ,1069.479137
450,0,6,4,2,2,0,0,0.1,0,0,0,990,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,595.808,0.21301,2-6,0.16265 ,1037.313478
550,0,6,4,2,2,0,0,0.1,0,0,0,990,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,581.058,0.26406,2-6,0.16265 ,879.1675829
25,0,6,4,2,2,0,0,0.1,0,0,0,1030,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1169.022264,0.125336491,2-7,0.38760 ,1503.22111
25,1500,6,4,2,2,0,0,0.1,0,0,0,1030,1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,1310.349,0.149096413,2-7,0.38760 ,1500.396335
