epoch,train_mse_uts,train_mse_fs,train_mae_uts,val_mae_uts,train_mae_fs,val_mae_fs,val_score
72,0.06830542,0.22074589,0.17994568,0.16874631,0.32297924,0.32844323,0.49718954
73,0.07096479,0.23726594,0.18070439,0.17002854,0.32352582,0.32533661,0.49536514
74,0.07048612,0.23309477,0.18125339,0.17161669,0.32533029,0.32516956,0.49678625
75,0.07077063,0.23218490,0.18149519,0.17233941,0.32428887,0.32567617,0.49801558
76,0.07336920,0.21735744,0.18098663,0.17130339,0.32275251,0.32659987,0.49790326
77,0.07865372,0.22690290,0.18108751,0.17151552,0.32097280,0.32784089,0.49935642
78,0.06771334,0.21908045,0.18080866,0.17077787,0.31974146,0.32754916,0.49832703
79,0.07124881,0.20976591,0.18121694,0.17070156,0.31848311,0.32520834,0.49590990
80,0.07018712,0.22775967,0.18231323,0.17237425,0.31735626,0.32379770,0.49617195
81,0.07297800,0.21723227,0.18154900,0.17076877,0.31703252,0.32088780,0.49165657
82,0.07040785,0.21836880,0.17964256,0.16716602,0.31644306,0.32020319,0.48736921
83,0.06795051,0.21991861,0.17608438,0.16080306,0.31664747,0.32238457,0.48318763
84,0.06973554,0.21583350,0.17241378,0.15453884,0.31901747,0.32710752,0.48164636
85,0.07360806,0.22236295,0.17009063,0.15020598,0.31903669,0.32284603,0.47305201
86,0.07216945,0.22916113,0.16880266,0.14731954,0.31862849,0.31679001,0.46410955
87,0.07108776,0.20956518,0.16863537,0.14696230,0.31871173,0.31233117,0.45929347
88,0.06931871,0.20382042,0.16893293,0.14769123,0.31895515,0.30994883,0.45764007
89,0.07079873,0.21649197,0.17075783,0.15106563,0.31702387,0.31115255,0.46221818
90,0.07067751,0.21924052,0.17313346,0.15576535,0.31624505,0.31996316,0.47572851
91,0.07572116,0.22621498,0.17721047,0.16287975,0.32030615,0.33736724,0.50024699
92,0.06784778,0.21358503,0.17983362,0.16766894,0.31620771,0.33465970,0.50232863
93,0.06936526,0.21037182,0.17992271,0.16825086,0.30985710,0.31832689,0.48657775
94,0.06736773,0.20521168,0.17960107,0.16786216,0.31466648,0.31543255,0.48329471
