epoch,train_mse_ys,train_mse_fs,train_mae_ys,val_mae_ys,train_mae_fs,val_mae_fs,val_score
72,0.08968153,0.22074546,0.18906024,0.15932797,0.32297879,0.32844329,0.48777126
73,0.08187841,0.23726533,0.19125223,0.16303721,0.32352534,0.32533607,0.48837328
74,0.08800852,0.23309410,0.19318117,0.16653809,0.32532981,0.32516879,0.49170688
75,0.08756912,0.23218361,0.19314432,0.16642697,0.32428801,0.32567537,0.49210234
76,0.09051911,0.21735863,0.19103363,0.16263701,0.32275116,0.32659900,0.48923601
77,0.09064367,0.22690189,0.18921311,0.15875889,0.32097095,0.32784021,0.48659910
78,0.08382151,0.21907917,0.18759036,0.15479903,0.31973830,0.32754967,0.48234870
79,0.09086215,0.20976396,0.18576379,0.15142941,0.31847930,0.32520941,0.47663882
80,0.09011636,0.22775905,0.18516055,0.15009682,0.31735232,0.32379869,0.47389551
81,0.08746016,0.21723464,0.18502966,0.14953755,0.31703001,0.32088780,0.47042535
82,0.08746880,0.21836804,0.18492158,0.14892182,0.31644258,0.32020265,0.46912447
83,0.08225046,0.21991901,0.18441752,0.14791153,0.31664813,0.32238343,0.47029497
84,0.08499122,0.21583280,0.18466468,0.14803408,0.31901982,0.32710651,0.47514059
85,0.09082982,0.22236313,0.18501006,0.14798871,0.31904039,0.32284543,0.47083414
86,0.08658534,0.22916240,0.18402560,0.14565431,0.31863263,0.31678954,0.46244384
87,0.08721992,0.20956510,0.18333071,0.14477055,0.31871477,0.31233031,0.45710085
88,0.08646285,0.20382044,0.18289044,0.14477955,0.31895730,0.30994785,0.45472740
89,0.08156814,0.21649103,0.18349901,0.14738426,0.31702465,0.31115168,0.45853594
90,0.08554393,0.21924131,0.18504184,0.15231641,0.31624490,0.31996134,0.47227775
91,0.08555757,0.22621499,0.18753788,0.15874214,0.32030419,0.33736473,0.49610688
92,0.08494674,0.21358363,0.18852355,0.16177328,0.31620583,0.33466005,0.49643333
93,0.08890140,0.21037182,0.18686289,0.16039008,0.30985504,0.31832874,0.47871882
94,0.08228684,0.20521288,0.18499060,0.15780568,0.31466207,0.31543371,0.47323939
95,0.08091095,0.19990623,0.18405180,0.15584722,0.31769109,0.31665155,0.47249877
